Temperature,Cp,S,H
100.0,31.631730244251603,150.0671768970829,2.755379929018514
200.0,30.478204798248097,171.57299932386985,5.851492499111581
300.0,29.910357680214666,183.81304275840012,8.868341478947844
400.0,29.594652617415264,192.36942172713523,11.841831144038196
500.0,29.469062483582363,198.95659868152342,14.793587146523258
600.0,29.500296521965144,204.330037349021,17.740865608110223
700.0,29.661252103238656,208.8881136378333,20.6979687047781
800.0,29.926704775642243,212.86512525672694,23.676598562954005
900.0,30.272133760341482,216.40926103742513,26.68597522490531
1000.0,30.67332292880821,219.61912837236508,29.73288383489645
1100.0,30.67332292880821,219.61912837236508,29.73288383489645
1200.0,31.274721177652392,222.5715681476939,32.96642052014881
1300.0,31.795583935274472,225.31564729092773,36.25584174548581
1400.0,32.258131769511294,227.8792500656484,39.59428601229219
1500.0,32.67694315980616,230.28539723361789,42.97669961738665
1600.0,33.061903721266766,232.55317276491596,46.399233861131755
1700.0,33.41990819035218,234.6984975900541,49.85886830250255
1800.0,33.75588349278835,236.73474938163451,53.35316698295462
1900.0,34.07342564511691,238.67325156209,56.88011590900256
2000.0,34.37520851823345,240.52365777535732,60.43801185608972
2100.0,34.663253292444566,242.294254794585,64.02538453129685
2200.0,34.93911033525831,243.9922023321755,67.64094097527683
2300.0,35.203984583818546,245.6237240842045,71.28352512729842
2400.0,35.45882363268283,247.19426097334318,74.95208793853884
2500.0,35.704380686457206,248.70859494061165,78.645664957054
2600.0,35.94126025195563,250.1709496504294,82.36335929235513
2700.0,36.16995177399525,251.58507297736364,86.10432851123754
2800.0,36.390854718037794,252.9543050179217,89.86777444564702
2900.0,36.60429749796901,254.28163452304972,93.6529351845751
3000.0,36.810551916458586,255.56974600573517,97.45907872280351
3100.0,37.0098442938309,256.82105929045133,101.28549787989971
3200.0,37.20236412572855,258.0377628981401,105.13150620263272
3300.0,37.388270877371156,259.2218423732886,108.99643463568583
3400.0,37.56769935906253,260.37510443722414,112.87962879769451
3500.0,37.74076401169678,261.49919767834706,116.78044673798321
3600.0,37.90756234773228,262.59563035399873,120.69825707786188
3700.0,38.06817773261866,263.66578577129883,124.63243746170625
3800.0,38.22268164729632,264.71093562904514,128.58237325921405
3900.0,38.37113553953619,265.73225163470306,132.54745647256874
4000.0,38.51359234734813,266.73081565585517,136.5270848117312
4100.0,38.65009775920151,267.7076286213593,140.52066090843837
4200.0,38.78069126176843,268.66361835166185,144.52759164522564
4300.0,38.90540701516709,269.5996464685219,148.54728758030402
4400.0,39.02427458741533,270.51651451048093,152.57916245268657
4500.0,39.13731957339444,271.4149693607318,156.6226327547975
4600.0,39.24456411862116,272.29570807776344,160.67711736206704
4700.0,39.34602736419842,273.15938220565545,164.74203721084
4800.0,39.441725826215496,274.0066016296327,168.81681501740167
4900.0,39.53167372040602,274.83793803307645,172.90087503212712
5000.0,39.61588324090827,275.65392800427145,176.99364282373224
5100.0,39.69436480039622,276.4550758345061,181.09454508941724
5200.0,39.76712723758039,277.2418560435005,185.20300948734433
5300.0,39.834177997048826,278.0147156633541,189.31846448844587
5400.0,39.89552328558361,278.7740763081295,193.4403392450084
5500.0,39.951168208404724,279.5203360527122,197.56806347385896
5600.0,40.00111688823396,280.2538711416065,201.70106735229413
5700.0,40.04537256961086,280.97503754577,205.83878142516028
5800.0,40.08393771051212,281.6841723833832,209.98063652171396
5900.0,40.11681406301016,282.3815952185523,214.12606368108382
6000.0,40.144002744444315,283.0676092502896,218.27449408531197
6100.0,40.16550430035917,283.7425024026906,222.42535899909169
6200.0,40.181318760280234,284.40654832598256,226.57808971543204
6300.0,40.19144568724407,285.06000731702875,230.73211750658157
6400.0,40.195884221869235,285.7031271669327,234.88687357962513
6500.0,40.19463312164523,286.33614394254766,239.04178903624378
6600.0,40.18769079602334,286.959282707973,243.19629483618934
6700.0,40.17505533781411,287.57275819147475,247.34982176407948
6800.0,40.15672455132955,288.17677540270347,251.50180039916563
6900.0,40.132695977649725,288.77153020458195,255.65166108776953
7000.0,40.10296691734493,289.35720984379446,259.79883391811603
7100.0,40.067534450942155,289.93399344341896,263.9427486973227
7200.0,40.026395457388,290.5020524608906,268.0828349303351
7300.0,39.979546630729295,291.06155111418514,272.21852180061575
7400.0,39.92698449520526,291.6126467788243,276.3492381524224
7500.0,39.86870541892174,292.15549035806725,280.47441247452144
7600.0,39.80470562625792,292.690226628431,284.59347288520496
7700.0,39.73498120913772,293.21699456248115,288.70584711849057
7800.0,39.65952813728347,293.7359276306657,292.810962511397
7900.0,39.578342267555186,294.24715408379933,296.9082459921977
8000.0,39.491419352467645,294.75079721766804,300.99712406956706
8100.0,39.398755047966965,295.24697562109196,305.07702282254047
8200.0,39.300344920539345,295.73580340867267,309.1473678912187
8300.0,39.19618445371658,296.2173904393437,313.20758446815114
8400.0,39.086269054036414,296.69184252174944,317.2570972903433
8500.0,38.970594056509064,297.1592616073943,321.2953306318345
8600.0,38.84915472963631,297.6197459724231,325.3217082967994
8700.0,38.72194628002439,298.0733903888281,329.3356536131315
8800.0,38.588963856627956,298.5202862858081,333.33658942646827
8900.0,38.45020255465834,298.96052190195485,337.3239380946241
9000.0,38.305657419186225,299.3941824288819,341.2971214823989
9100.0,38.155323448465616,299.82135014686844,345.25556095673204
9200.0,37.99919559700349,300.2421045530439,349.19867738217647
9300.0,37.83726877839741,300.65652248259846,353.12589111666756
9400.0,37.6695378679604,301.06467822347275,357.03662200756514
9500.0,37.49599770515156,301.46664362493954,360.9302893879483
9600.0,37.31664309582865,301.8624882004654,364.8063120731437
9700.0,37.13146881433696,302.2522792252092,368.66410835747166
9800.0,36.940469605448605,302.6360818284899,372.5030960111925
9900.0,36.74364018616367,303.0139590815304,376.3226922776409
10000.0,36.540975247384914,303.38597208076567,380.1223138705331
