Temperature,Cp,S,H
100.0,28.12198320260416,-1.8787654778138858,2.9402567167480846
200.0,27.759943227549172,93.92463713111961,5.701874317270105
300.0,28.603515581107413,131.0666468471601,8.520903686603484
400.0,29.181602526611623,152.27689676206734,11.413007372810107
500.0,29.4446016061869,166.56883136339496,14.346605975528758
600.0,29.493360592195494,177.11273241367053,17.294757535712076
700.0,29.461125406508835,185.3510728320834,20.242568877017522
800.0,29.49097523287964,192.05731680909594,23.189048441155148
900.0,29.72967335836049,197.69840019600167,26.147723899670176
1000.0,30.325578076940975,202.58345098838828,29.14688919865604
1100.0,30.325578076940975,202.58345098838828,29.14688919865604
1200.0,30.81634160055036,205.49718626358143,32.02614964403027
1300.0,31.266019503036038,208.19809064628348,34.95232014682798
1400.0,31.68549306982622,210.71744571533006,37.921876097875675
1500.0,32.08188124661559,213.08022541124916,40.93217706811191
1600.0,32.45999259625003,215.30663430589266,43.98117004312698
1700.0,32.823163217374756,217.41322064314565,47.06720394475031
1800.0,33.17376041946007,219.41369123841392,50.18890961560697
1900.0,33.513496281069834,221.3195160660451,53.34511980882196
2000.0,33.84362889161911,223.1403828785132,56.53481444413384
2100.0,34.1650950090217,224.88454353140477,59.75708228717406
2200.0,34.478599601449126,226.55908108141512,63.01109357752372
2300.0,34.78467757539379,228.1701181740232,66.29608012184585
2400.0,35.08373714289135,229.72298138501625,69.61132058011341
2500.0,35.37609081425287,231.22233212906443,72.95612943028053
2600.0,35.66197789314976,232.67227191066988,76.32984858143243
2700.0,35.941581036130266,234.07642768047072,79.73184092236241
2800.0,36.21503860126209,235.43802161583915,83.16148530379837
2900.0,36.48245396662401,236.7599285964763,86.61817259586658
3000.0,36.74390263955882,238.04472387638916,90.10130256125238
3100.0,36.99943773561986,239.29472288307142,93.610281353729
3200.0,37.2490942408968,240.51201464734746,97.14451950084185
3300.0,37.49289235695346,241.698490044204,100.70343026483991
3400.0,37.73084014728817,242.85586577844703,104.2864283016189
